number,id,priority,title,author,first_published,latest_published,published,domain,pillar,category,subcategory,topic,slug,difficulty,status,path,type,reading_mode,summary_depth,learning_stage,prerequisites,primary_source
0001,0001,P0,Make It Stick: The Science of Successful Learning,Peter C. Brown; Henry L. Roediger III; Mark A. McDaniel,2014,2014,2014,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,How Learning Works,Memory & Retention,Make-It-Stick,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Make-It-Stick.md,nonfiction,summary,detailed,Foundation,,
0002,0002,P1,"How We Learn: The Surprising Truth About When, Where, and Why It Happens",Benedict Carey,2014,2015,2014,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,How Learning Works,Memory & Retention,How-We-Learn,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/How-We-Learn.md,nonfiction,summary,detailed,Foundation,,
0003,0003,P1,Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,2011,2012,2011,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,How Learning Works,Memory & Retention,Moonwalking-with-Einstein,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Moonwalking-with-Einstein.md,nonfiction,summary,detailed,Foundation,,
0004,0004,P2,"The Memory Illusion: Remembering, Forgetting, and the Science of False Memory",Julia Shaw,2016,2017,2016,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,How Learning Works,Memory & Retention,The-Memory-Illusion,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/The-Memory-Illusion.md,nonfiction,summary,detailed,Foundation,,
0005,0005,P2,Remember: The Science of Memory and the Art of Forgetting,Lisa Genova,2021,2022,2021,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,How Learning Works,Memory & Retention,Remember,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Remember.md,nonfiction,summary,detailed,Foundation,,
0006,0006,P1,Powerful Teaching: Unleash the Science of Learning,Pooja K. Agarwal; Patrice M. Bain,2019,2019,2019,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,How Learning Works,Retrieval Practice,Powerful-Teaching,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Powerful-Teaching.md,nonfiction,summary,detailed,Foundation,,
0007,0007,P1,Small Teaching: Everyday Lessons from the Science of Learning,James M. Lang,2016,2021,2016,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,How Learning Works,Retrieval Practice,Small-Teaching,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Small-Teaching.md,nonfiction,summary,detailed,Foundation,,
0008,0008,P2,Understanding How We Learn: A Visual Guide,Yana Weinstein; Megan Sumeracki; Oliver Caviglioli,2018,2019,2018,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,How Learning Works,Retrieval Practice,Understanding-How-We-Learn,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Understanding-How-We-Learn.md,nonfiction,summary,detailed,Foundation,,
0009,0009,P2,Learning and Memory: From Brain to Behavior,Mark A. Gluck; Eduardo Mercado; Catherine E. Myers,2007,2019,2007,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,How Learning Works,Retrieval Practice,Learning-and-Memory,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/Learning-and-Memory.md,nonfiction,summary,detailed,Foundation,,
0010,0010,P2,The Science of Learning: 99 Studies That Every Teacher Needs to Know,Edward Watson; Bradley Busch,2019,2021,2019,"01-Learning, Thinking & Knowledge","Learning, Thinking & Knowledge",01-LEARNING-SCIENCE,How Learning Works,Retrieval Practice,The-Science-of-Learning,Intermediate,planned,md/01-Learning-Thinking-and-Knowledge/01-LEARNING-SCIENCE/The-Science-of-Learning.md,nonfiction,summary,detailed,Foundation,,
